9 -38
-459 0 0 0
-786 0 0 0
-1346 0 0 0
-2306 0 0 0
-3951 0 0 0
-6770 0 0 0
-11600 1 0 0
-19875 0 0 0
-26828 0 1 -26828
-21630 0 0 0
-17439 0 0 0
-14060 0 0 0
-11335 0 0 0
-9139 0 0 0
-7368 0 0 0
-5940 0 0 0
-2031 0 0 0
-3480 0 0 0
-5962 0 0 0
-8048 0 0 0
-6489 0 0 0
-5232 0 0 0
-4218 0 0 0
-3401 0 0 0
-2742 0 0 0
-2306 0 0 0
-3951 0 0 0
-6770 0 0 0
-11600 1 0 0
-2306 0 0 0
-3951 0 0 0
-6770 0 0 0
-11600 0 0 0
-19875 0 0 0
-26828 0 1 -26828
-21630 0 0 0
-17439 0 0 0
-14060 0 0 0
-11335 0 0 0
-9139 0 0 0
-7368 0 0 0
-9139 0 0 0
-11335 1 0 0
-14060 0 0 0
-17439 0 0 0
-21630 0 0 0
-26828 0 1 -26828
-19875 0 0 0
-11600 0 0 0
-6770 0 0 0
-11600 0 0 0
-6770 0 0 0
-3951 0 0 0
-2306 0 0 0
-1346 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
